factor_code,course_id,content_fit,rationale
CORE-CO,C011,0.95,역량의 행동지표와 과정 주제가 직접 연계
CORE-CL,C002,0.95,역량의 행동지표와 과정 주제가 직접 연계
CORE-CL,C001,0.75,역량의 행동지표와 과정 주제가 직접 연계
CORE-GM,C006,0.9,역량의 행동지표와 과정 주제가 직접 연계
JOB-ST,C007,0.9,역량의 행동지표와 과정 주제가 직접 연계
JOB-ST,C003,0.75,역량의 행동지표와 과정 주제가 직접 연계
JOB-PS,C003,0.98,역량의 행동지표와 과정 주제가 직접 연계
JOB-PS,C004,0.9,역량의 행동지표와 과정 주제가 직접 연계
JOB-EX,C010,0.95,역량의 행동지표와 과정 주제가 직접 연계
JOB-EX,C009,0.8,역량의 행동지표와 과정 주제가 직접 연계
LEAD-PD,C013,0.98,역량의 행동지표와 과정 주제가 직접 연계
LEAD-PD,C012,0.8,역량의 행동지표와 과정 주제가 직접 연계
LEAD-CI,C001,0.9,역량의 행동지표와 과정 주제가 직접 연계
LEAD-CI,C019,0.8,역량의 행동지표와 과정 주제가 직접 연계
AI_USE,C015,0.98,역량의 행동지표와 과정 주제가 직접 연계
PLAN_STR,C007,0.98,역량의 행동지표와 과정 주제가 직접 연계
PLAN_STR,C008,0.9,역량의 행동지표와 과정 주제가 직접 연계
DATA_ANA,C014,0.98,역량의 행동지표와 과정 주제가 직접 연계
DATA_ANA,C004,0.8,역량의 행동지표와 과정 주제가 직접 연계
DX_APPLY,C016,0.95,역량의 행동지표와 과정 주제가 직접 연계
DX_APPLY,C015,0.8,역량의 행동지표와 과정 주제가 직접 연계
PM_EXEC,C030,0.98,역량의 행동지표와 과정 주제가 직접 연계
COMM_PRES,C001,0.95,역량의 행동지표와 과정 주제가 직접 연계
INNOV_ID,C006,0.8,역량의 행동지표와 과정 주제가 직접 연계
INNOV_ID,C005,0.75,역량의 행동지표와 과정 주제가 직접 연계
GLOBAL_BZ,C028,0.98,역량의 행동지표와 과정 주제가 직접 연계
ESG_PRAC,C029,0.98,역량의 행동지표와 과정 주제가 직접 연계
CHANGE_MG,C005,0.98,역량의 행동지표와 과정 주제가 직접 연계
CHANGE_MG,C006,0.8,역량의 행동지표와 과정 주제가 직접 연계
SALES_CORE,C020,0.98,역량의 행동지표와 과정 주제가 직접 연계
SALES_CORE,C019,0.85,역량의 행동지표와 과정 주제가 직접 연계
MKT_CORE,C021,0.98,역량의 행동지표와 과정 주제가 직접 연계
FIN_CORE,C018,0.95,역량의 행동지표와 과정 주제가 직접 연계
FIN_CORE,C017,0.85,역량의 행동지표와 과정 주제가 직접 연계
HR_CORE,C022,0.98,역량의 행동지표와 과정 주제가 직접 연계
HR_CORE,C013,0.75,역량의 행동지표와 과정 주제가 직접 연계
DEV_CORE,C032,0.95,역량의 행동지표와 과정 주제가 직접 연계
PR_CORE,C023,0.98,역량의 행동지표와 과정 주제가 직접 연계
PR_CORE,C001,0.7,역량의 행동지표와 과정 주제가 직접 연계
LEGAL_CORE,C024,0.98,역량의 행동지표와 과정 주제가 직접 연계
STRAT_CORE,C007,0.95,역량의 행동지표와 과정 주제가 직접 연계
STRAT_CORE,C009,0.8,역량의 행동지표와 과정 주제가 직접 연계
PROC_CORE,C025,0.98,역량의 행동지표와 과정 주제가 직접 연계
PROC_CORE,C019,0.75,역량의 행동지표와 과정 주제가 직접 연계
MFG_CORE,C026,0.98,역량의 행동지표와 과정 주제가 직접 연계
LOGI_CORE,C031,0.98,역량의 행동지표와 과정 주제가 직접 연계
DATA_JOB,C014,0.9,역량의 행동지표와 과정 주제가 직접 연계
DATA_JOB,C004,0.85,역량의 행동지표와 과정 주제가 직접 연계
RND_CORE,C027,0.98,역량의 행동지표와 과정 주제가 직접 연계
RND_CORE,C030,0.75,역량의 행동지표와 과정 주제가 직접 연계
GRD1_COMP,C010,0.85,역량의 행동지표와 과정 주제가 직접 연계
GRD1_COMP,C002,0.7,역량의 행동지표와 과정 주제가 직접 연계
GRD2_COMP,C003,0.8,역량의 행동지표와 과정 주제가 직접 연계
GRD2_COMP,C002,0.75,역량의 행동지표와 과정 주제가 직접 연계
GRD3_COMP,C012,0.92,역량의 행동지표와 과정 주제가 직접 연계
GRD3_COMP,C013,0.9,역량의 행동지표와 과정 주제가 직접 연계
GRD4_COMP,C012,0.9,역량의 행동지표와 과정 주제가 직접 연계
GRD4_COMP,C005,0.85,역량의 행동지표와 과정 주제가 직접 연계
GRD5_COMP,C007,0.88,역량의 행동지표와 과정 주제가 직접 연계
GRD5_COMP,C005,0.85,역량의 행동지표와 과정 주제가 직접 연계
