question_code,module_group_code,module_group,library_type,domain_code_original,domain_name_original,factor_code,factor_name_ko,factor_definition,factor_order,item_order,original_text,static_sql_text,static_sql_source_file,static_sql_source_line,runtime_api_text,runtime_api_source_file,source_conflict,source_conflict_reason,original_reverse,revised_text,response_frame,scoring_direction,difficulty,target_levels,overlap_group,duplicate_groups,original_decision,issue_codes,rationale,original_definition_fit,original_observable_behavior,original_single_focus,original_period_context,original_opportunity_handling,original_role_applicability,original_social_desirability_control,original_duplicate_control,original_training_actionability,original_frequency_scale_fit,original_validity_score,definition_fit,observable_behavior,single_focus,period_context,opportunity_handling,role_applicability,social_desirability_control,duplicate_control,training_actionability,frequency_scale_fit,validity_score,empirical_status,active,source_file,source_line_approx
Q-CO-01,COMMON,공통기반,base,CORE,핵심역량,CORE-CO,고객지향,고객의 니즈를 파악하고 고객 가치를 최우선으로 행동하는 역량,1,1,나는 고객(내부/외부)의 요구사항을 파악하기 위해 먼저 적극적으로 질문하고 확인한다.,나는 고객(내부/외부)의 요구사항을 파악하기 위해 먼저 적극적으로 질문하고 확인한다.,database/seed.sql,187,,,False,,False,고객의 요구를 확인하기 위해 먼저 질문했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,direct,2,all,customer,DUP_CUSTOMER_NEEDS,유지,PERIOD_UNSPECIFIED|AGREEMENT_SCALE_MISMATCH|SEMANTIC_DUPLICATE,"측정역량과 직접 연결되는 비교적 단일한 행동이다. 문항 원문은 유지할 수 있으나, 공통 회상기간·행동빈도 척도·'수행기회 없음' 옵션을 적용해야 한다.",1,1,1,0,1,1,1,0,1,0,7,1,1,1,1,1,1,1,1,1,1,10,전문가 예비검토·인지면접 전,True,database/seed.sql,191
Q-CO-02,COMMON,공통기반,base,CORE,핵심역량,CORE-CO,고객지향,고객의 니즈를 파악하고 고객 가치를 최우선으로 행동하는 역량,1,2,"나는 고객의 불만이나 문제 상황이 발생했을 때, 즉각적으로 해결하려고 노력한다.","나는 고객의 불만이나 문제 상황이 발생했을 때, 즉각적으로 해결하려고 노력한다.",database/seed.sql,194,,,False,,False,고객 불만이나 문제가 발생했을 때 담당 범위 안에서 대응 절차를 시작했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,direct,2,all,customer,,수정,PERIOD_UNSPECIFIED|AGREEMENT_SCALE_MISMATCH|ABSTRACT_SELF_RATING|OPPORTUNITY_DEPENDENT|SOCIAL_DESIRABILITY_HIGH|OUTCOME_CONFOUNDED|RARE_EVENT|LOW_EDUCATION_INTERVENTION_FIT,역량 정의와 관련되지만 추상적 자기평가 또는 효과성 표현; 역할·사건·도구에 따라 수행기회가 달라짐; 바람직한 답이 지나치게 뚜렷함. 제시한 단일 행동문으로 수정하고 공통 회상기간·행동빈도 척도·'수행기회 없음' 옵션을 적용한다.,1,0,1,0,0,1,0,1,1,0,5,1,1,1,1,1,1,1,1,1,1,10,전문가 예비검토·인지면접 전,True,database/seed.sql,198
Q-CO-03,COMMON,공통기반,base,CORE,핵심역량,CORE-CO,고객지향,고객의 니즈를 파악하고 고객 가치를 최우선으로 행동하는 역량,1,3,나는 내가 만든 결과물을 고객의 시각에서 검토하기보다 내 기준으로 평가하는 편이다.,나는 내가 만든 결과물을 고객의 시각에서 검토하기보다 내 기준으로 평가하는 편이다.,database/seed.sql,201,,,False,,True,결과물을 고객의 사용 상황과 요구 기준에 따라 검토했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,direct,2,all,customer,,수정,PERIOD_UNSPECIFIED|AGREEMENT_SCALE_MISMATCH|REVERSE_WORDING|ABSTRACT_SELF_RATING,역량 정의와 관련되지만 역문항 문구가 해석오류를 키움; 추상적 자기평가 또는 효과성 표현. 제시한 단일 행동문으로 수정하고 공통 회상기간·행동빈도 척도·'수행기회 없음' 옵션을 적용한다.,1,0,1,0,1,1,1,1,1,0,7,1,1,1,1,1,1,1,1,1,1,10,전문가 예비검토·인지면접 전,True,database/seed.sql,205
Q-CO-04,COMMON,공통기반,base,CORE,핵심역량,CORE-CO,고객지향,고객의 니즈를 파악하고 고객 가치를 최우선으로 행동하는 역량,1,4,나는 고객으로부터 받은 피드백을 업무 방식과 결과물 개선에 적극적으로 반영한다.,나는 고객으로부터 받은 피드백을 업무 방식과 결과물 개선에 적극적으로 반영한다.,database/seed.sql,208,,,False,,False,고객 피드백 중 적용할 사항을 정해 업무 방식이나 결과물에 반영했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,direct,2,all,customer,,유지,PERIOD_UNSPECIFIED|AGREEMENT_SCALE_MISMATCH|DOUBLE_BARRELED,"측정역량과 직접 연결되는 비교적 단일한 행동이다. 문항 원문은 유지할 수 있으나, 공통 회상기간·행동빈도 척도·'수행기회 없음' 옵션을 적용해야 한다.",1,1,0,0,1,1,1,1,1,0,7,1,1,1,1,1,1,1,1,1,1,10,전문가 예비검토·인지면접 전,True,database/seed.sql,212
Q-CL-01,COMMON,공통기반,base,CORE,핵심역량,CORE-CL,협업과 팀워크,공동의 목표를 위해 구성원들과 협력하고 시너지를 만드는 역량,2,1,나는 팀의 공동 목표 달성을 위해 내 업무 외의 부분도 기꺼이 지원한다.,나는 팀의 공동 목표 달성을 위해 내 업무 외의 부분도 기꺼이 지원한다.,database/seed.sql,218,,,False,,False,공동 목표 달성에 필요한 지원 업무를 팀과 합의해 수행했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,direct,2,all,collaboration,,수정,PERIOD_UNSPECIFIED|AGREEMENT_SCALE_MISMATCH|ABSTRACT_SELF_RATING|SOCIAL_DESIRABILITY_HIGH,역량 정의와 관련되지만 추상적 자기평가 또는 효과성 표현; 바람직한 답이 지나치게 뚜렷함. 제시한 단일 행동문으로 수정하고 공통 회상기간·행동빈도 척도·'수행기회 없음' 옵션을 적용한다.,1,0,1,0,1,1,0,1,1,0,6,1,1,1,1,1,1,1,1,1,1,10,전문가 예비검토·인지면접 전,True,database/seed.sql,222
Q-CL-02,COMMON,공통기반,base,CORE,핵심역량,CORE-CL,협업과 팀워크,공동의 목표를 위해 구성원들과 협력하고 시너지를 만드는 역량,2,2,나는 업무에 유용한 정보나 노하우를 동료들과 적극적으로 공유한다.,나는 업무에 유용한 정보나 노하우를 동료들과 적극적으로 공유한다.,database/seed.sql,225,,,False,,False,업무에 필요한 정보나 노하우를 동료가 활용할 수 있게 공유했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,direct,2,all,collaboration,,유지,PERIOD_UNSPECIFIED|AGREEMENT_SCALE_MISMATCH,"측정역량과 직접 연결되는 비교적 단일한 행동이다. 문항 원문은 유지할 수 있으나, 공통 회상기간·행동빈도 척도·'수행기회 없음' 옵션을 적용해야 한다.",1,1,1,0,1,1,1,1,1,0,8,1,1,1,1,1,1,1,1,1,1,10,전문가 예비검토·인지면접 전,True,database/seed.sql,229
Q-CL-03,COMMON,공통기반,base,CORE,핵심역량,CORE-CL,협업과 팀워크,공동의 목표를 위해 구성원들과 협력하고 시너지를 만드는 역량,2,3,"팀 내에서 의견 충돌이 발생할 때, 나는 가능한 한 그 상황을 피하는 편이다.","팀 내에서 의견 충돌이 발생할 때, 나는 가능한 한 그 상황을 피하는 편이다.",database/seed.sql,232,,,False,,True,의견 충돌이 발생했을 때 핵심 쟁점을 정리하고 해결 대화에 참여했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,direct,2,all,collaboration,,수정,PERIOD_UNSPECIFIED|AGREEMENT_SCALE_MISMATCH|REVERSE_WORDING|OPPORTUNITY_DEPENDENT|RARE_EVENT,역량 정의와 관련되지만 역문항 문구가 해석오류를 키움; 역할·사건·도구에 따라 수행기회가 달라짐; 8주 안에 사건이 없을 가능성이 큼. 제시한 단일 행동문으로 수정하고 공통 회상기간·행동빈도 척도·'수행기회 없음' 옵션을 적용한다.,1,1,1,0,0,1,1,1,1,0,7,1,1,1,1,1,1,1,1,1,1,10,전문가 예비검토·인지면접 전,True,database/seed.sql,236
Q-CL-04,COMMON,공통기반,base,CORE,핵심역량,CORE-CL,협업과 팀워크,공동의 목표를 위해 구성원들과 협력하고 시너지를 만드는 역량,2,4,나는 다른 팀이나 부서와 협력이 필요한 상황에서 적극적으로 소통하고 공동 해결책을 찾는다.,나는 다른 팀이나 부서와 협력이 필요한 상황에서 적극적으로 소통하고 공동 해결책을 찾는다.,database/seed.sql,239,,,False,,False,다른 부서와 협업할 때 역할과 다음 조치를 확인했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,direct,2,all,collaboration,DUP_CROSS_FUNCTIONAL_COLLAB,수정,PERIOD_UNSPECIFIED|AGREEMENT_SCALE_MISMATCH|DOUBLE_BARRELED|OPPORTUNITY_DEPENDENT|SEMANTIC_DUPLICATE,역량 정의와 관련되지만 한 문항에 여러 행동·결과가 결합됨; 역할·사건·도구에 따라 수행기회가 달라짐; 다른 모듈과 의미가 중복되어 동시 선택 시 이중가중 위험. 제시한 단일 행동문으로 수정하고 공통 회상기간·행동빈도 척도·'수행기회 없음' 옵션을 적용한다.,1,1,0,0,0,1,1,0,1,0,5,1,1,1,1,1,1,1,1,1,1,10,전문가 예비검토·인지면접 전,True,database/seed.sql,243
Q-GM-01,COMMON,공통기반,base,CORE,핵심역량,CORE-GM,성장 마인드셋,지속적인 학습과 변화를 통해 자신을 발전시키려는 의지와 태도,3,1,나는 업무와 관련된 새로운 지식이나 기술을 스스로 찾아서 학습한다.,나는 업무와 관련된 새로운 지식이나 기술을 스스로 찾아서 학습한다.,database/seed.sql,249,,,False,,False,업무에 필요한 새로운 지식이나 기술을 스스로 학습했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,direct,2,all,growth_change,DUP_SELF_LEARNING,유지,PERIOD_UNSPECIFIED|AGREEMENT_SCALE_MISMATCH|SEMANTIC_DUPLICATE,"측정역량과 직접 연결되는 비교적 단일한 행동이다. 문항 원문은 유지할 수 있으나, 공통 회상기간·행동빈도 척도·'수행기회 없음' 옵션을 적용해야 한다.",1,1,1,0,1,1,1,0,1,0,7,1,1,1,1,1,1,1,1,1,1,10,전문가 예비검토·인지면접 전,True,database/seed.sql,253
Q-GM-02,COMMON,공통기반,base,CORE,핵심역량,CORE-GM,성장 마인드셋,지속적인 학습과 변화를 통해 자신을 발전시키려는 의지와 태도,3,2,"나는 실패나 실수를 경험했을 때, 그것을 통해 무엇을 배울 수 있는지 분석한다.","나는 실패나 실수를 경험했을 때, 그것을 통해 무엇을 배울 수 있는지 분석한다.",database/seed.sql,256,,,False,,False,실수나 실패 후 원인과 다음 행동을 정리했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,direct,2,all,growth_change,,유지,PERIOD_UNSPECIFIED|AGREEMENT_SCALE_MISMATCH|OPPORTUNITY_DEPENDENT|RARE_EVENT,"측정역량과 직접 연결되는 비교적 단일한 행동이다. 문항 원문은 유지할 수 있으나, 공통 회상기간·행동빈도 척도·'수행기회 없음' 옵션을 적용해야 한다.",1,1,1,0,0,1,1,1,1,0,7,1,1,1,1,1,1,1,1,1,1,10,전문가 예비검토·인지면접 전,True,database/seed.sql,260
