module_group_code,module_group,library_type,factor_code,factor_name_ko,factor_name_en,definition,behavioral_indicators,target_levels,overlap_group,default_selected,active_for_scoring,display_order,source_file
COMMON,공통기반,base,CORE-CO,고객지향,Customer Orientation,고객의 니즈를 파악하고 고객 가치를 최우선으로 행동하는 역량,고객의 명시적·잠재적 니즈를 능동적으로 파악한다 | 고객 불만이나 문제 상황에 신속하고 성실하게 대응한다 | 고객 관점에서 업무 프로세스와 결과물의 품질을 점검한다 | 고객 피드백을 업무 개선에 적극적으로 반영한다,all,customer,True,True,1,seed.sql
COMMON,공통기반,base,CORE-CL,협업과 팀워크,Collaboration & Teamwork,공동의 목표를 위해 구성원들과 협력하고 시너지를 만드는 역량,팀 목표 달성을 위해 자신의 역할과 책임을 명확히 인식하고 행동한다 | 필요한 정보와 지식을 동료와 적극적으로 공유한다 | 갈등 상황에서 감정을 조절하고 건설적으로 해결한다 | 타부서 또는 외부 관계자와 협력하여 공동 성과를 창출한다,all,collaboration,True,True,2,seed.sql
COMMON,공통기반,base,CORE-GM,성장 마인드셋,Growth Mindset,지속적인 학습과 변화를 통해 자신을 발전시키려는 의지와 태도,새로운 지식과 기술을 습득하기 위해 스스로 학습 기회를 찾는다 | 실패나 어려움을 성장의 기회로 받아들인다 | 변화하는 환경에 유연하게 적응하고 새로운 방식을 시도한다 | 피드백을 열린 마음으로 수용하고 개선에 활용한다,all,growth_change,True,True,3,seed.sql
WORK,업무수행 기본,base,JOB-ST,전략적 사고,Strategic Thinking,복잡한 상황에서 핵심을 파악하고 전략적 방향을 설정하는 역량,외부 환경 변화와 내부 역량을 분석하여 핵심 이슈를 도출한다 | 단기 성과와 장기 목표의 균형을 고려하여 의사결정한다 | 다양한 정보를 통합하여 의미 있는 인사이트를 도출한다 | 우선순위를 명확히 하여 자원을 효율적으로 배분한다,staff|manager|executive,strategy_planning,True,True,4,seed.sql
WORK,업무수행 기본,base,JOB-PS,문제해결력,Problem Solving,문제의 근본 원인을 분석하고 효과적인 해결책을 도출하는 역량,문제의 현상과 원인을 구분하여 본질적인 문제를 정의한다 | 다양한 관점에서 창의적인 해결 방안을 탐색한다 | 데이터와 근거를 바탕으로 해결책을 선택하고 실행한다 | 실행 결과를 모니터링하고 필요시 방향을 조정한다,all,problem_analysis,True,True,5,seed.sql
WORK,업무수행 기본,base,JOB-EX,실행력,Execution & Drive,목표를 향해 끈기 있게 추진하고 성과를 창출하는 역량,명확한 목표와 계획을 수립하고 체계적으로 실행한다 | 장애물에도 포기하지 않고 목표를 향해 지속적으로 노력한다 | 업무 진행 상황을 주도적으로 관리하고 지연 요인을 사전에 제거한다 | 높은 기준을 유지하며 기대 이상의 결과를 만들어낸다,all,execution_pm,True,True,6,seed.sql
LEADERSHIP,리더십,base,LEAD-PD,사람 육성,People Development,구성원의 역량을 개발하고 성장을 지원하는 역량,구성원 개개인의 강점과 개발 필요 역량을 정확히 파악한다 | 정기적인 코칭과 피드백으로 구성원의 성장을 지원한다 | 도전적인 과업과 기회를 통해 구성원의 역량을 확장한다 | 구성원이 실수에서 배울 수 있도록 심리적 안전감을 조성한다,manager|executive,people_development,True,True,7,seed.sql
LEADERSHIP,리더십,base,LEAD-CI,소통과 영향력,Communication & Influence,명확하게 소통하고 다양한 이해관계자에게 긍정적인 영향력을 발휘하는 역량,복잡한 내용을 상대방이 이해하기 쉽게 명확히 전달한다 | 상대방의 입장과 감정을 이해하며 경청한다 | 설득력 있는 논거로 상대방의 동의를 이끌어낸다 | 다양한 이해관계자와 신뢰 관계를 구축한다,manager|executive,communication_influence,True,True,8,seed.sql
SPECIALTY,전문·미래역량,specialty,AI_USE,AI 도구 활용,AI Tool Usage,"ChatGPT, Copilot 등 생성AI를 업무에 적극 활용한다",AI 도구로 업무 효율화 | 결과물 검토·보완 | 반복업무 자동화 | AI 윤리 준수,staff|manager|executive,digital_ai,False,True,9,seed_specialty.sql
SPECIALTY,전문·미래역량,specialty,PLAN_STR,전략적 기획력,Strategic Planning,목표와 환경 분석을 기반으로 실행 가능한 계획을 수립한다,목표·범위 명확화 | 이해관계자 분석 | 데이터 기반 기획 | 유연한 계획 수정,staff|manager|executive,strategy_planning,False,True,10,seed_specialty.sql
SPECIALTY,전문·미래역량,specialty,DATA_ANA,데이터 분석·해석,Data Analysis,데이터를 수집·분석하여 의미 있는 인사이트를 도출한다,데이터 수집·정제 | 통계·시각화 도구 활용 | 비판적 데이터 평가 | 쉬운 결과 전달,staff|manager|executive,data_analysis,False,True,11,seed_specialty.sql
SPECIALTY,전문·미래역량,specialty,DX_APPLY,디지털 혁신 적용,Digital Innovation,디지털 도구와 기술을 학습하고 업무 프로세스에 적용한다,디지털 도구 신속 습득 | 업무 프로세스 개선 | DX 영향 이해 | 협업 플랫폼 활용,staff|manager|executive,digital_ai,False,True,12,seed_specialty.sql
SPECIALTY,전문·미래역량,specialty,PM_EXEC,프로젝트 실행·관리,Project Execution,프로젝트를 계획하고 리스크를 관리하며 목표를 달성한다,목표·일정·자원 정의 | 리스크 사전 파악 | 역할 명확화 | 사후 회고 반영,staff|manager|executive,execution_pm,False,True,13,seed_specialty.sql
SPECIALTY,전문·미래역량,specialty,COMM_PRES,설득·프레젠테이션,Persuasion & Presentation,청중 맞춤형 발표와 논리적 설득으로 비즈니스 소통을 이끈다,핵심 중심 문서 작성 | 청중 맞춤 구성 | 데이터 기반 설득 | 디지털 채널 소통,staff|manager|executive,communication_influence,False,True,14,seed_specialty.sql
SPECIALTY,전문·미래역량,specialty,INNOV_ID,아이디어 발굴·실험,Idea Generation,현상에 의문을 갖고 새로운 아이디어를 빠르게 실험·검증한다,현상 의문 제기 | 소규모 빠른 실험 | 타 분야 인사이트 활용 | 실패 수용 문화,staff|manager|executive,growth_change,False,True,15,seed_specialty.sql
SPECIALTY,전문·미래역량,specialty,GLOBAL_BZ,글로벌 비즈니스,Global Business,외국어 소통과 문화적 이해를 바탕으로 글로벌 협업을 수행한다,외국어 비즈니스 소통 | 문화 다양성 존중 | 글로벌 트렌드 파악 | 국제 협상 진행,staff|manager|executive,,False,True,16,seed_specialty.sql
SPECIALTY,전문·미래역량,specialty,ESG_PRAC,ESG 이해·실천,ESG Practice,환경·사회·지배구조 원칙을 업무에 통합하고 실천한다,ESG 의사결정 반영 | 조직 ESG 전략 이해 | 친환경 업무 실천 | 윤리적 거래 유지,staff|manager|executive,,False,True,17,seed_specialty.sql
SPECIALTY,전문·미래역량,specialty,CHANGE_MG,변화 수용·추진,Change Management,조직 변화를 능동적으로 수용하고 구성원의 변화 적응을 지원한다,변화 방향 이해·수용 | 저항 구성원 설득 | 문화 개선 활동 참여 | 투명한 변화 소통,staff|manager|executive,growth_change,False,True,18,seed_specialty.sql
ROLE,직무·직급,job_function,SALES_CORE,영업 핵심역량,Core Sales Skills,고객 발굴·제안·협상을 통해 영업 목표를 달성한다,고객 니즈 파악 | 맞춤형 제안 | 거절 대응 | 목표 달성 계획,staff|manager,customer,False,True,19,seed_job_level.sql
ROLE,직무·직급,job_function,MKT_CORE,마케팅 핵심역량,Core Marketing Skills,시장 분석과 캠페인 실행으로 브랜드 성장을 이끈다,고객 인사이트 도출 | 캠페인 기획 | 성과 측정 | 디지털 마케팅,staff|manager,customer,False,True,20,seed_job_level.sql
ROLE,직무·직급,job_function,FIN_CORE,재무 핵심역량,Core Finance Skills,재무 분석과 예산 관리로 경영을 지원한다,재무제표 분석 | 예산 수립 | 리스크 파악 | ROI 분석,staff|manager,,False,True,21,seed_job_level.sql
ROLE,직무·직급,job_function,HR_CORE,인사 핵심역량,Core HR Skills,채용·평가·교육으로 인재를 체계적으로 관리한다,채용·선발 운영 | 역량 개발 지원 | 성과 평가 | 노동법령 준수,staff|manager,,False,True,22,seed_job_level.sql
ROLE,직무·직급,job_function,DEV_CORE,개발 핵심역량,Core Development Skills,요구사항 분석부터 배포까지 소프트웨어를 개발한다,요구사항 분석 | 코드 품질 관리 | 기술 학습 | 비즈니스 협업,staff|manager,,False,True,23,seed_job_level.sql
ROLE,직무·직급,job_function,PR_CORE,홍보 핵심역량,Core PR Skills,미디어와 디지털 채널로 브랜드 평판을 관리한다,미디어 채널 활용 | 언론 관계 관리 | 위기 커뮤니케이션 | SNS 관리,staff|manager,,False,True,24,seed_job_level.sql
ROLE,직무·직급,job_function,LEGAL_CORE,법무 핵심역량,Core Legal Skills,법령 준수와 리스크 관리로 조직을 보호한다,법령 적용 | 계약 검토 | 컴플라이언스 준수 | 분쟁 대응,staff|manager,,False,True,25,seed_job_level.sql
ROLE,직무·직급,job_function,STRAT_CORE,전략 핵심역량,Core Strategy Skills,환경 분석과 전략 수립으로 경쟁 우위를 확보한다,산업 환경 분석 | 전략 수립 | KPI 설계 | 이해관계자 정렬,manager|executive,strategy_planning,False,True,26,seed_job_level.sql
ROLE,직무·직급,job_function,PROC_CORE,구매 핵심역량,Core Procurement Skills,공급업체 관리와 협상으로 원가를 최적화한다,공급업체 평가 | 협상 원가 절감 | 공급망 리스크 관리 | 구매 프로세스 효율화,staff|manager,,False,True,27,seed_job_level.sql
