candidate_factor_code,factor_name_ko,target_levels,definition,question_code,revised_text,response_frame,review_status,rationale,active_for_scoring
PILOT-COMM,업무 소통,all,업무의 목적과 요청을 명확히 전달하고 상대의 이해를 확인하는 행동,PILOT-COMM-Q1,업무를 요청할 때 목적과 완료 기준을 구분해 설명했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,직무분석·전문가 검토·인지면접 전,실무자 기본경로에 소통 측정이 없는 공백을 보완하는 후보,False
PILOT-COMM,업무 소통,all,업무의 목적과 요청을 명확히 전달하고 상대의 이해를 확인하는 행동,PILOT-COMM-Q2,상대의 설명을 내가 이해한 내용으로 요약해 확인했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,직무분석·전문가 검토·인지면접 전,경청과 이해 확인 행동 후보,False
PILOT-COMM,업무 소통,all,업무의 목적과 요청을 명확히 전달하고 상대의 이해를 확인하는 행동,PILOT-COMM-Q3,업무 변경으로 영향을 받는 사람에게 변경 내용을 알렸다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,직무분석·전문가 검토·인지면접 전,적시 공유 행동 후보,False
PILOT-COMM,업무 소통,all,업무의 목적과 요청을 명확히 전달하고 상대의 이해를 확인하는 행동,PILOT-COMM-Q4,모호한 요청을 받았을 때 구체적인 질문으로 확인했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,직무분석·전문가 검토·인지면접 전,명료화 질문 행동 후보,False
PILOT-RESP,책임 있는 판단,all,판단 근거와 위험을 투명하게 다루고 오류에 책임 있게 대응하는 행동,PILOT-RESP-Q1,중요한 판단을 내릴 때 사용한 근거를 기록했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,직무분석·전문가 검토·인지면접 전,책임성과 추적가능성 후보,False
PILOT-RESP,책임 있는 판단,all,판단 근거와 위험을 투명하게 다루고 오류에 책임 있게 대응하는 행동,PILOT-RESP-Q2,업무 오류를 발견했을 때 영향을 받는 사람에게 알렸다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,직무분석·전문가 검토·인지면접 전,사회적 바람직성이 높아 상황판단형 병행 필요,False
PILOT-RESP,책임 있는 판단,all,판단 근거와 위험을 투명하게 다루고 오류에 책임 있게 대응하는 행동,PILOT-RESP-Q3,규정과 업무목표가 충돌할 때 승인 절차를 확인했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,직무분석·전문가 검토·인지면접 전,윤리·준법 판단 후보,False
PILOT-RESP,책임 있는 판단,all,판단 근거와 위험을 투명하게 다루고 오류에 책임 있게 대응하는 행동,PILOT-RESP-Q4,확실하지 않은 정보를 공유할 때 추정임을 표시했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,직무분석·전문가 검토·인지면접 전,불확실성 공개 행동 후보,False
PILOT-DIGI,디지털 안전·정보판별,all,디지털 정보의 신뢰성과 보안을 확인하며 업무도구를 안전하게 사용하는 행동,PILOT-DIGI-Q1,업무에 사용할 정보의 출처와 작성 시점을 확인했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,직무분석·전문가 검토·인지면접 전,정보 신뢰성 평가 공백 보완 후보,False
PILOT-DIGI,디지털 안전·정보판별,all,디지털 정보의 신뢰성과 보안을 확인하며 업무도구를 안전하게 사용하는 행동,PILOT-DIGI-Q2,외부 도구에 자료를 넣기 전 개인정보를 제외했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,직무분석·전문가 검토·인지면접 전,개인정보 보호 행동 후보,False
PILOT-DIGI,디지털 안전·정보판별,all,디지털 정보의 신뢰성과 보안을 확인하며 업무도구를 안전하게 사용하는 행동,PILOT-DIGI-Q3,링크나 파일을 열기 전 보낸 사람과 출처를 확인했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,직무분석·전문가 검토·인지면접 전,디지털 안전 행동 후보,False
PILOT-DIGI,디지털 안전·정보판별,all,디지털 정보의 신뢰성과 보안을 확인하며 업무도구를 안전하게 사용하는 행동,PILOT-DIGI-Q4,공유 문서의 접근 권한을 필요한 사람으로 제한했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,직무분석·전문가 검토·인지면접 전,최소권한 행동 후보,False
PILOT-PERF,성과관리와 책임,manager|executive,기대결과를 합의하고 진행을 점검하며 장애와 결과에 책임 있게 대응하는 리더 행동,PILOT-PERF-Q1,구성원과 과업의 기대 결과를 합의했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,직무분석·전문가 검토·인지면접 전,관리자·임원 기본경로의 성과관리 공백 보완 후보,False
PILOT-PERF,성과관리와 책임,manager|executive,기대결과를 합의하고 진행을 점검하며 장애와 결과에 책임 있게 대응하는 리더 행동,PILOT-PERF-Q2,계획 대비 진행 상태를 정기적으로 확인했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,직무분석·전문가 검토·인지면접 전,진행통제 행동 후보,False
PILOT-PERF,성과관리와 책임,manager|executive,기대결과를 합의하고 진행을 점검하며 장애와 결과에 책임 있게 대응하는 리더 행동,PILOT-PERF-Q3,구성원의 실행을 막는 장애 요인을 제거했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,직무분석·전문가 검토·인지면접 전,리더의 지원 책임 행동 후보,False
PILOT-PERF,성과관리와 책임,manager|executive,기대결과를 합의하고 진행을 점검하며 장애와 결과에 책임 있게 대응하는 리더 행동,PILOT-PERF-Q4,결과가 기대에 미치지 못했을 때 후속 조치를 정했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,직무분석·전문가 검토·인지면접 전,결과 책임과 개선 행동 후보,False
